21 November 2007 12:00:13 PM

MD
  C++ version

  A molecular dynamics program, which has been
  modified to include OpenMP directives.
  The OpenMP directives allow the program to be
  run in parallel.


  The number of processors available:
  OMP_GET_NUM_PROCS () =    1

  The number of threads available:
  OMP_GET_NUM_THREADS () =  1

  This is processor 0

  Initialize positions, velocities, and accelerations.

  Compute initial forces and energies.

  Initial Total energy = 124406

      Step      Pot Energy      Kin Energy     (P+K-E0)/E0

       614          124403         3.16122    -4.39722e-10
       615          124403         3.17161    -4.41942e-10
       616          124403         3.18202    -4.44175e-10
       617          124403         3.19244     -4.4641e-10
       618          124403         3.20288    -4.48655e-10
       619          124403         3.21334    -4.50905e-10
       620          124403         3.22381    -4.53161e-10
       621          124403          3.2343    -4.55422e-10
       622          124403         3.24481    -4.57695e-10
       623          124403         3.25534    -4.59969e-10
       624          124403         3.26588    -4.62249e-10
       625          124403         3.27644    -4.64544e-10
       626          124403         3.28702    -4.66841e-10
       627          124403         3.29762    -4.69153e-10
       628          124403         3.30823    -4.71471e-10
       629          124403         3.31886    -4.73797e-10
       630          124403         3.32951     -4.7613e-10
       631          124403         3.34018    -4.78469e-10
       632          124403         3.35086    -4.80816e-10
       633          124403         3.36156    -4.83173e-10
       634          124403         3.37228    -4.85533e-10
       635          124403         3.38301    -4.87907e-10
       636          124403         3.39376    -4.90278e-10
       637          124403         3.40453    -4.92663e-10
       638          124403         3.41532    -4.95055e-10
       639          124403         3.42612    -4.97454e-10
       640          124403         3.43694    -4.99861e-10
       641          124403         3.44778    -5.02274e-10
       642          124403         3.45864    -5.04696e-10
       643          124403         3.46951    -5.07126e-10
       644          124403          3.4804    -5.09561e-10
       645          124403         3.49131    -5.12003e-10
       646          124403         3.50224    -5.14454e-10
       647          124403         3.51318    -5.16913e-10
       648          124403         3.52414    -5.19381e-10
       649          124403         3.53512    -5.21852e-10
       650          124403         3.54611    -5.24333e-10
